,CAS,,Compound name,Compoundflags
,CAS,,Compound name,Compound flags
1.,64-18-6,,formic acid,Q E S R O T
2.,67879-58-7,,caftaric acid,S T
3.,1111-78-0,,"carbamic acid, monoammonium salt",S
4.,64-19-7,,acetic acid,Q E S R O T
5.,,,glucaric acid (unkn.str.),E
6.,,,gluconic acid (unkn.str.),
7.,,,diferulic acid (isomer 5),
8.,79-14-1,,hydroxyacetic acid (=glycolic acid),Q E S T
9.,77-52-1,,ursolic acid,Q S
10.,298-12-4,,oxoacetic acid (=glyoxylic acid),Q E S T
11.,,,N-[4-[hydroxy(methyl)amino]butanoyl]glycine,P E
12.,56-87-1,,L-Lysine,Q E S
13.,56-87-1,,l-Lysine,E S T
14.,79-09-4,,propanoic acid (=propionic acid),Q E S R O T
15.,1477-50-5,,indole-2-carboxylic acid,P S
16.,79-10-7,,2-propenoic acid (=acrylic acid),Q E S T
17.,79-31-2,,2-methylpropanoic acid (=isobutyric acid),Q E S R O T
18.,79-41-4,,2-methyl-2-propenoic acid (=methacrylic acid),P E S T
19.,75-98-9,,"2,2-dimethylpropanoic acid (=trimethyl acetic acid, pivalic acid)",P E S T
20.,598-82-3,,2-hydroxypropanoic acid (=lactic acid),Q E S T
21.,503-66-2,,3-hydroxypropanoic acid,Q S
22.,473-81-4,,"2,3-hydroxypropanoic acid (=glyceric acid)",Q E S
23.,127-17-3,,"2-oxopropanoic acid (=pyruvic acid, acetylformic acid)",Q E S R T
24.,4324-38-3,,3-ethoxypropanoic acid,Q S
25.,1783-84-2,,dihomo-γ-linolenic acid,Q E S
26.,97-69-8,,N-acetylalanine,P E S
27.,594-61-6,,2-hydroxy-2-methylpropanoic acid,Q S T
28.,1113-60-6,,3-hydroxy-2-oxopropanoic acid,Q E S
29.,13794-15-5,,2-(4-methoxyphenoxy)propanoic acid,Q E S
30.,4276-75-9,,(R)-2-(4-methoxyphenoxy)propanoic acid,Q E S
31.,4276-74-8,,(S)-2-(4-methoxyphenoxy)propanoic acid,Q E S
32.,2504-83-8,,3-(4-imidazolyl)-2-oxopropanoic acid,Q E S
33.,107-92-6,,butanoic acid,Q E S R O T
34.,3724-65-0,,2-butenoic acid (=crotonic acid),Q E S R
35.,107-93-7,,(E)-2-butenoic acid,P E S
36.,,,diferulic acid (isomer 1),
37.,,,diferulic acid (isomer 2),
38.,,,diferulic acid (isomer 3),
39.,,,diferulic acid (isomer 4),
40.,116-53-0,,2-methylbutanoic acid,Q E S R O T
41.,1730-91-2,,(S)-2-methylbutanoic acid,Q S R O T
42.,32231-50-8,,(R)-2-methylbutanoic acid,Q S T
43.,503-74-2,,3-methylbutanoic acid (=isovaleric acid),Q E S R O T
44.,35915-22-1,,methylbutanoic acid (unkn.str.),Q R
45.,88-09-5,,2-ethylbutanoic acid,Q E S T
46.,14287-61-7,,"2,3-dimethylbutanoic acid",E S T
47.,13201-46-2,,2-methyl-2-butenoic acid,P E S
48.,565-63-9,,(Z)-2-methyl-2-butenoic acid (=angelic acid),Q E S
49.,80-59-1,,(E)-2-methyl-2-butenoic acid (=tiglic acid),Q E S R T
50.,541-47-9,,3-methyl-2-butenoic acid (=senecioic acid),Q E S R T
51.,1617-31-8,,3-methyl-3-butenoic acid,Q E S T
52.,32444-32-9,,2-ethyl-3-methylbutanoic acid,Q E S
53.,10276-09-2,,"2,2-dimethyl-3-butenoic acid",P S
54.,565-70-8,,2-hydroxybutanoic acid,P E S T
55.,300-85-6,,3-hydroxybutanoic acid,Q E S O T
56.,591-81-1,,4-hydroxybutanoic acid,P E S T
57.,3739-30-8,,2-hydroxy-2-methylbutanoic acid,P E S T
58.,4026-18-0,,2-hydroxy-3-methylbutanoic acid,Q E S T
59.,625-08-1,,3-hydroxy-3-methylbutanoic acid,Q E S
60.,14868-24-7,,"2,3-dihydroxy-2-methylbutanoic acid",Q E S
61.,1756-18-9,,"2,3-dihydroxy-3-methylbutanoic acid",Q E S
62.,59-30-3,,folic acid,Q S
63.,6217-54-5,,docosahexaenoic acid,Q E S
64.,600-18-0,,2-oxobutanoic acid,Q E S T
65.,541-50-4,,3-oxobutanoic acid,P E S
66.,759-05-7,,3-methyl-2-oxobutanoic acid,Q E S T
67.,1944-42-9,,3-hydroxy-2-oxobutanoic acid,Q S
68.,22136-38-5,,hydroxy-2-oxobutanoic acid (unkn.str.),P
69.,918-44-5,,2-hydroxy-2-methyl-3-oxobutanoic acid (=α-acetolactic acid),Q E S
70.,3142-65-2,,2-ethyl-2-hydroxy-3-oxobutanoic acid,Q E S
71.,109-52-4,,pentanoic acid (=valeric acid),Q E S R O T
72.,626-98-2,,2-pentenoic acid,P S
73.,27516-53-6,,pentenoic acid (unkn.str.),P R
74.,97-61-0,,2-methylpentanoic acid,Q E S R T
75.,105-43-1,,3-methylpentanoic acid,Q E S R O T
