,CAS,,Compound name,Compoundflags
,CAS,,Compound name,Compound flags
1.,107-95-9,,β-Alanine,Q E S T
2.,73-32-5,,L-Isoleucine,Q E T
3.,72-18-4,,L-Valine,Q S T
4.,63-91-2,,L-Phenylalanine,Q E S T
5.,74-79-3,,L-Arginine,Q E S T
6.,56-84-8,,L-Aspartic acid,Q E S
7.,56-86-0,,L-Glutamic acid,Q E S T
8.,98-79-3,,L-pyroglutamic acid,P E S
9.,368-16-1,,3-methyl-L-histidine,Q S
10.,34522-32-2,,D-Octopine,Q S
11.,56-41-7,,L-Alanine,Q E T
12.,56-89-3,,L-Cystine,Q S T
13.,52-90-4,,l-Cysteine,Q E S T
14.,302-84-1,,Serine,Q E T
15.,541-15-1,,Carnitine,P E
16.,17885-08-4,,o-Phosphoserine,Q S T
17.,107-43-7,,Betaine,P E T
18.,70-26-8,,L-Ornitine,Q E
19.,599-54-2,,Pantothenic acid,Q E S
20.,302-72-7,,DL-Alanine,P E T
21.,150-30-1,,"D,L-Phenylalanine",P E T
22.,516-06-3,,"D,L-Valine",E T
23.,443-79-8,,"D,L-Isoleucine",P E
24.,147-85-3,,L-Proline,Q E T
25.,56-40-6,,L-Glycine,Q E T
26.,72-19-5,,L-Threonine,Q E T
27.,59-51-8,,"D,L-Methionine",P E
28.,63-68-3,,L-Methionine,Q S T
29.,70-47-3,,Asparagine,Q
30.,56-85-9,,L-Glutamine,Q E T
31.,60-18-4,,L-Tyrosine,P E T
32.,535-34-2,,Cystathionine,Q S
33.,73-22-3,,Tryptophan,P E
34.,56-12-2,,4-Aminobutyric acid,Q E
35.,71-00-1,,L-Histidine,Q E T
36.,1190-94-9,,5-hydroxylysine,Q E S
37.,57-00-1,,Creatine,P E T
38.,61-90-5,,L-Leucine,Q E S
